n,hashes,secondary_rehashes
32,2,0
32,1,4
32,1,1
32,1,2
32,2,5
64,1,3
64,1,5
64,1,1
64,1,1
64,1,8
128,1,13
128,1,7
128,1,4
128,1,4
128,1,10
256,1,17
256,1,13
256,1,15
256,1,14
256,1,18
512,1,33
512,1,35
512,1,30
512,1,35
512,1,28
1024,1,64
1024,1,65
1024,1,59
1024,1,91
1024,1,71
2048,1,127
2048,1,112
2048,1,128
2048,1,134
2048,1,165
4096,1,241
4096,1,229
4096,1,256
4096,1,301
4096,1,250
8192,1,522
8192,1,496
8192,1,542
8192,1,506
8192,1,470
16384,1,1096
16384,1,1111
16384,1,1022
16384,1,974
16384,1,1082
32768,1,2103
32768,1,2001
32768,1,2038
32768,1,1979
32768,1,2069
65536,1,4086
65536,1,4152
65536,1,3937
65536,1,4134
65536,1,4039
131072,1,8482
131072,1,8402
131072,1,8311
131072,1,8082
131072,1,8410
262144,1,16596
262144,1,16462
262144,1,16780
262144,1,16407
262144,1,16507
524288,1,33169
524288,1,33249
524288,1,33060
524288,1,33440
524288,1,33315
1048576,1,66686
1048576,1,68131
1048576,1,66341
1048576,1,66624
1048576,1,66727
2097152,1,132696
2097152,1,132878
2097152,1,133158
2097152,1,133724
2097152,1,133828
4194304,1,265463
4194304,1,267801
4194304,1,267448
4194304,1,266270
4194304,1,266023
8388608,1,534072
8388608,1,532720
8388608,1,535747
8388608,1,532382
8388608,1,528505
16777216,1,1069182
16777216,1,1068373
16777216,1,1061225
16777216,1,1069371
16777216,1,1071941
