n,k,basic_strategy_avg,basic_strategy_std,optimal_strategy_avg,optimal_strategy_std
21,10,4.793380952380954,0.6949511459362414,4.991777394963808,0.9454594952223699
30,10,6.049333333333336,0.9499763739752225,6.233500871141279,0.8311697476355127
45,10,6.850666666666665,1.2654461175977463,7.252560638430413,0.7451861703024666
45,15,9.172,1.213889249936381,9.437455206748014,1.079860538823885
70,10,7.5908571428571445,1.3781791003541823,8.181555640432839,0.4893672561898368
70,15,10.769,1.4732015047064644,11.252315606896135,0.817049804061861
70,25,14.997857142857134,1.5300945348945867,15.339925140554005,1.4711755741297463
100,10,7.9236,1.5498783952297686,8.694714504739455,0.39863876565483153
100,15,11.578699999999998,1.602225424214707,12.297738544741838,0.606270780678137
100,25,17.4705,1.9058803084139357,18.118630700232476,1.162313749214727
100,40,22.867200000000004,1.6850769003223602,23.440697724609926,1.9549933327673288
135,10,8.150925925925923,1.5113286766943272,9.001564046615497,0.3153887356176077
135,15,12.09155555555556,1.7512218803093105,12.971373406281916,0.49046299121672
135,25,18.800222222222235,2.1415328420503528,19.752381903083393,0.923755311613869
135,40,26.567629629629618,2.2834598577182565,27.296892797191926,1.6873869543299818
135,60,32.09833333333337,1.8199232618471486,32.82987529946338,2.485881735967758
200,10,8.3087,1.69342236609772,9.315156712434247,0.21965910174700576
200,15,12.528200000000002,1.915010054803892,13.60399257523957,0.3462876723226486
200,25,20.0655,2.557542228390374,21.36815178828373,0.7330961220291122
200,40,30.094400000000007,2.7390013946692333,31.313578957673098,1.2457729535104134
200,60,40.28500000000002,2.4752201922253403,41.24377291605376,1.8852619608846348
200,85,47.231650000000045,2.4399138360811143,48.026136493022086,2.973994450800219
270,10,8.421111111111111,1.6341952458347555,9.495095908601616,0.1588566848728355
270,15,12.67538888888889,2.0295139835091702,13.945575608919265,0.2697862388797904
270,25,21.042777777777793,2.4650603642611504,22.340381184396076,0.5371225470141848
270,40,32.04070370370369,2.8287678537915975,33.50524211521805,0.9864531301433848
270,60,44.48033333333336,2.9560957547263467,45.8953016190023,1.5579732864099534
270,85,56.2537037037036,3.0224356542283193,57.4327270634383,2.4093379935396504
270,105,62.25450000000014,2.771532668082228,63.244725507050646,3.055719122340891
350,10,8.50582857142857,1.6584035559192802,9.603236552597545,0.13198901343577124
350,15,12.825714285714287,2.047480482576235,14.185655366802196,0.21355795735830085
350,25,21.418428571428564,2.6042487224079127,22.9232819978014,0.4232652619494546
350,40,33.495057142857156,2.843613405654209,34.99211964696223,0.7360567199067708
350,60,47.21365714285717,3.497678240531243,48.94797091325444,1.3678204962851386
350,85,61.88507142857149,3.559439217899139,63.44233224586767,2.0272014273994734
350,105,71.16970000000013,3.419896476503359,72.58402103197345,2.5958649844195216
350,140,81.80579999999995,3.150619996127716,82.98959169733449,3.6535058487422964
400,10,8.5293,1.6736226456402883,9.65462740224798,0.11887792164334306
400,15,12.994712500000002,1.9921655173689141,14.28626988989337,0.18788983984987032
400,25,21.624375,2.587507472815296,23.184406253648298,0.3417784433695133
400,40,33.89939999999998,3.0001799346039184,35.58794188253496,0.6235635205923861
400,60,48.56390000000004,3.447485575024215,50.39513488823197,1.1214906651504444
400,85,64.51672500000005,3.507737869606988,66.17151172198659,1.7364092185572535
400,105,74.73308749999987,3.957160763867653,76.52019810071654,2.4198007751904838
400,140,88.62685000000012,3.6599790405820953,90.11249656302208,3.454487304111417
400,180,96.9666499999997,2.968226790105485,98.4365331915104,4.333032282559394
500,10,8.508360000000003,1.7522213645541487,9.717232080930614,0.09698977803986801
500,15,13.127980000000003,2.0139694932148315,14.426020730947842,0.15748419478983539
500,25,21.94879999999999,2.6143447668584168,23.53197359547644,0.2978140949908231
500,40,34.56992000000004,3.0948428059596234,36.441654209326806,0.5264893410617714
500,60,50.06584000000004,3.7498276619599573,52.247739996993715,0.9323149224125095
500,85,67.8873599999999,4.092559569560344,69.9111800555893,1.5167191479485522
500,105,79.99777000000005,4.405185572379477,82.08478122378233,2.0234517098982763
500,140,97.8710399999999,4.2730271843740875,99.76987590730003,2.8413230190391356
500,180,112.53696000000008,3.796612431945092,114.1941211642335,3.844412148619491
500,225,121.14574999999958,3.5959559838101285,122.66632276389308,4.877623071958205
600,10,8.622849999999998,1.6657675373866279,9.769430097073219,0.07427112235523332
600,15,13.203449999999997,2.0710973775996138,14.522607694023693,0.13597251015359524
600,25,22.108749999999997,2.642481439806571,23.77669124414425,0.2576132388175804
600,40,35.057866666666655,3.2267097627975923,37.01661308228239,0.5047110112052708
600,60,51.35849999999996,3.804219729458323,53.551984509480704,0.7801009296509649
600,85,70.03399166666672,4.226919212018441,72.30660507799278,1.2899437691859885
600,105,83.68800000000017,4.268400432246268,85.91342805226242,1.6511316650224954
600,140,104.2336999999999,4.485173708886741,106.40320748139935,2.4468542250643788
600,180,122.88990000000037,4.5550991196679975,124.9975234478421,3.340989961525958
600,225,137.430625,4.490383779185806,139.2030923641667,4.457307524963023
600,275,146.2884583333335,3.6837299633262828,147.97190655845176,5.294288476423501
700,10,8.653585714285715,1.6465143763820145,9.801049960486923,0.07003327036448491
700,15,13.224414285714277,2.0329345090689124,14.592039214301698,0.11538925837911894
700,25,22.40035714285715,2.577205786965286,23.96150842803818,0.18621581664348177
700,40,35.49951428571429,3.1118855378719066,37.470769185822846,0.39556806955858376
700,60,52.19931428571422,3.714785837098837,54.4644264129299,0.6524263842533209
700,85,71.75029285714284,4.251424391072993,74.10615199764314,1.1096076130909478
700,105,85.95114999999994,4.664079349400019,88.52857135487136,1.5084027606866608
700,140,108.96559999999974,4.705887444467817,111.34555959712836,2.1162225862126767
700,180,130.37662857142885,4.839413598816294,132.73509264319526,2.9865420682873114
700,225,149.57614285714274,4.760594063426736,151.6586645202191,3.868530827344016
700,275,163.84782142857193,4.6645530002994215,165.89537756470685,5.113016098484101
700,325,171.17946428571426,4.306915472409347,173.0660262297435,6.173254084411406
800,10,8.609024999999997,1.7610965474314575,9.82414456486345,0.07410633110748861
800,15,13.066324999999997,2.1516340216507532,14.637522917985628,0.09357387957016547
800,25,22.4226875,2.6329127992764496,24.09190129762241,0.1919632673671197
800,40,35.6288,3.3993522265278773,37.76626766636405,0.37590613774124665
800,60,52.81102499999995,3.9734484801460437,55.14392390345325,0.6196647739653839
800,85,72.92195624999988,4.306699150338148,75.46527428828132,0.9377900720188627
800,105,87.71334375000009,5.075595203609009,90.55175462055114,1.3603557371613861
800,140,112.04077500000024,4.879493239505017,114.67493734474724,1.882173454530101
800,180,135.99080000000043,5.2847508560007235,138.6609980753798,2.7303537471932193
800,225,158.00784375,5.475744455576195,160.47799750829728,3.6757914638424896
800,275,176.8095,5.275214264013359,179.13361757402018,4.731866546803008
800,325,189.6116875,4.71993099087198,191.87048600037286,5.674373247281286
800,375,196.2225,4.350103896029381,198.29914584865355,6.482839328416248
900,10,8.75661111111111,1.6458316962017177,9.84680887788242,0.045955984181378966
900,15,13.234683333333331,2.115953977064612,14.681894811322254,0.08715499340831527
900,25,22.482638888888875,2.616230851740487,24.18678390000644,0.16889673538628716
900,40,35.93653333333334,3.31101530539993,38.02283217706522,0.3085318022208731
900,60,53.19253333333326,4.120424711658292,55.68622163153239,0.5388232974034529
900,85,73.9521944444445,4.385056353984897,76.54244847321226,0.872800257026737
900,105,89.39333333333352,4.868601270727938,92.1806661442953,1.1747343659517797
900,140,114.73888888888905,5.209433489732917,117.49251079613262,1.7029821600872603
900,180,140.44079999999988,5.300771204268363,143.2087534427095,2.462628400646303
900,225,164.46525,6.03834455273132,167.5562526600684,3.4049411614610956
900,275,187.07708333333412,5.665837655522415,189.69852626270867,4.309756203348118
900,325,204.13458333333256,5.189090599145645,206.49039402957908,5.099127209309072
900,375,215.1158333333343,5.241278403744305,217.4398561721592,6.349524062982776
900,425,221.165277777776,4.701356638655127,223.57292933225972,7.0841170547737615
999,10,8.727751751751754,1.6928956195482912,9.862789279114294,0.04239618349503461
999,15,13.301237237237238,2.099655321305882,14.714549575259015,0.07919133326950915
999,25,22.32595195195196,2.836959223368659,24.25508681298775,0.1590650633334983
999,40,36.03209709709709,3.2870429408076083,38.21801829836873,0.2744648694826515
999,60,53.63861261261262,4.030539182576255,56.11285897925223,0.5105853926132122
999,85,74.7641021021022,4.467081886432762,77.37629717966162,0.7997368532406941
999,105,90.48103303303296,4.860221546854758,93.41590089893101,1.0000522391787328
999,140,116.57292092092047,5.4288977630646365,119.73781023026844,1.5583382648840836
999,180,143.50945945946017,5.811447059936497,146.7671336053456,2.333085976853531
999,225,170.018900900901,6.275902891004165,173.2614072213726,3.0794982639509323
999,275,195.1430030030026,5.8760283367867,198.08402574036148,3.9073345515415028
999,325,215.28194194194052,5.858876584091797,217.9863456837557,4.832911469138324
999,375,230.3715555555568,5.76769544005336,232.9944727793796,5.883152116577345
999,425,240.49910510510364,5.323030750884014,242.90022570293328,6.545411373554896
999,475,245.80845245245493,4.735525203181381,248.38438835108278,7.325764013352981
999,499,246.65765765765678,4.570211349239886,249.65108703268476,7.794346428583225
